slug,name,category,pricingUnit,basePrice_cad,preset_key,preset_model,preset_active,minimumPrice,fileFee,materials_count,finishings_count,addons_count,sizes_count,tier_1,tier_2,tier_3,has_optionsConfig
invitations-flat,Flat Invitations,marketing-prints,per_piece,59.00,catbase_marketing_prints_01,QTY_TIERED,true,0,0,0,0,,,1:0.55,5:0.5225,10:0.495,true
letterhead,Letterhead,marketing-prints,per_piece,0.00,catbase_marketing_prints_01,QTY_TIERED,true,0,0,0,0,,,1:0.55,5:0.5225,10:0.495,true
letterhead-standard,Letterhead,marketing-prints,per_piece,79.00,catbase_marketing_prints_01,QTY_TIERED,true,0,0,0,0,,,1:0.55,5:0.5225,10:0.495,true
loyalty-cards,Loyalty & Punch Cards,marketing-prints,per_piece,35.00,catbase_marketing_prints_01,QTY_TIERED,true,0,0,0,0,,,1:0.55,5:0.5225,10:0.495,true
magnets-business-card,Business Card Magnets,marketing-prints,per_piece,49.00,catbase_marketing_prints_01,QTY_TIERED,true,0,0,0,0,,,1:0.55,5:0.5225,10:0.495,true
menus,Menus,marketing-prints,per_piece,0.00,catbase_marketing_prints_01,QTY_TIERED,true,0,0,0,0,,,1:0.55,5:0.5225,10:0.495,true
menus-flat,Flat Menu,marketing-prints,per_piece,79.00,catbase_marketing_prints_01,QTY_TIERED,true,0,0,0,0,,,1:0.55,5:0.5225,10:0.495,true
menus-folded,Folded Menu,marketing-prints,per_piece,109.00,catbase_marketing_prints_01,QTY_TIERED,true,0,0,0,0,,,1:0.55,5:0.5225,10:0.495,true
menus-laminated,Laminated Menu,marketing-prints,per_piece,149.00,catbase_marketing_prints_01,QTY_TIERED,true,0,0,0,0,,,1:0.55,5:0.5225,10:0.495,true
menus-takeout,Takeout Insert,marketing-prints,per_piece,59.00,catbase_marketing_prints_01,QTY_TIERED,true,0,0,0,0,,,1:0.55,5:0.5225,10:0.495,true
ncr-forms-duplicate,NCR Duplicate Forms (2-Part),marketing-prints,per_piece,89.00,catbase_marketing_prints_01,QTY_TIERED,true,0,0,0,0,,,1:0.55,5:0.5225,10:0.495,true
ncr-forms-triplicate,NCR Triplicate Forms (3-Part),marketing-prints,per_piece,119.00,catbase_marketing_prints_01,QTY_TIERED,true,0,0,0,0,,,1:0.55,5:0.5225,10:0.495,true
ncr-invoice-books,NCR Invoice Books,marketing-prints,per_piece,0.00,catbase_marketing_prints_01,QTY_TIERED,true,0,0,0,0,,,1:0.55,5:0.5225,10:0.495,true
ncr-invoices,NCR Invoice,marketing-prints,per_piece,0.00,catbase_marketing_prints_01,QTY_TIERED,true,0,0,0,0,,,1:0.55,5:0.5225,10:0.495,true
notepads,Notepads,marketing-prints,per_piece,0.00,catbase_marketing_prints_01,QTY_TIERED,true,0,0,0,0,,,1:0.55,5:0.5225,10:0.495,true
notepads-custom,Custom Notepads,marketing-prints,per_piece,49.00,catbase_marketing_prints_01,QTY_TIERED,true,0,0,0,0,,,1:0.55,5:0.5225,10:0.495,true
order-form-pads,Order Form Pads,marketing-prints,per_piece,0.00,catbase_marketing_prints_01,QTY_TIERED,true,0,0,0,0,,,1:0.55,5:0.5225,10:0.495,true
order-forms-single,Order Form,marketing-prints,per_piece,0.00,catbase_marketing_prints_01,QTY_TIERED,true,0,0,0,0,,,1:0.55,5:0.5225,10:0.495,true
postcards,Postcards,marketing-prints,per_piece,0.00,batch1_postcards_standard,QTY_TIERED,true,25,0,,2,,,100:0.45,250:0.28,500:0.18,true
postcards-eddm,EDDM Postcard,marketing-prints,per_piece,89.00,batch1_postcards_standard,QTY_TIERED,true,25,0,,2,,,100:0.45,250:0.28,500:0.18,true
postcards-large,Large Postcard,marketing-prints,per_piece,79.00,batch1_postcards_standard,QTY_TIERED,true,25,0,,2,,,100:0.45,250:0.28,500:0.18,true
postcards-medium,Medium Postcard,marketing-prints,per_piece,59.00,batch1_postcards_standard,QTY_TIERED,true,25,0,,2,,,100:0.45,250:0.28,500:0.18,true
postcards-standard,Standard Postcard,marketing-prints,per_piece,49.00,batch1_postcards_standard,QTY_TIERED,true,25,0,,2,,,100:0.45,250:0.28,500:0.18,true
posters,Posters,marketing-prints,per_piece,0.00,catbase_marketing_prints_01,QTY_TIERED,true,0,0,0,0,,,1:0.55,5:0.5225,10:0.495,true
posters-adhesive,Adhesive Poster,marketing-prints,per_piece,169.00,catbase_marketing_prints_01,QTY_TIERED,true,0,0,0,0,,,1:0.55,5:0.5225,10:0.495,true
posters-backlit,Backlit Poster,marketing-prints,per_piece,249.00,catbase_marketing_prints_01,QTY_TIERED,true,0,0,0,0,,,1:0.55,5:0.5225,10:0.495,true
posters-glossy,Glossy Poster,marketing-prints,per_piece,99.00,catbase_marketing_prints_01,QTY_TIERED,true,0,0,0,0,,,1:0.55,5:0.5225,10:0.495,true
posters-matte,Matte Poster,marketing-prints,per_piece,9.50,catbase_marketing_prints_01,QTY_TIERED,true,0,0,0,0,,,1:0.55,5:0.5225,10:0.495,true
presentation-folders,Presentation Folders,marketing-prints,per_piece,0.00,catbase_marketing_prints_02,QTY_TIERED,true,0,0,0,0,,,1:349,5:331.55,10:314.1,true
presentation-folders-die-cut,Custom Die-Cut Folder,marketing-prints,per_piece,449.00,catbase_marketing_prints_02,QTY_TIERED,true,0,0,0,0,,,1:349,5:331.55,10:314.1,true
presentation-folders-legal,Legal Size Folder,marketing-prints,per_piece,349.00,catbase_marketing_prints_02,QTY_TIERED,true,0,0,0,0,,,1:349,5:331.55,10:314.1,true
presentation-folders-reinforced,Reinforced Folder,marketing-prints,per_piece,349.00,catbase_marketing_prints_02,QTY_TIERED,true,0,0,0,0,,,1:349,5:331.55,10:314.1,true
presentation-folders-standard,Standard 2-Pocket Folder,marketing-prints,per_piece,299.00,catbase_marketing_prints_02,QTY_TIERED,true,0,0,0,0,,,1:349,5:331.55,10:314.1,true
rack-cards,Rack Cards,marketing-prints,per_piece,0.00,catbase_marketing_prints_01,QTY_TIERED,true,0,0,0,0,,,1:0.55,5:0.5225,10:0.495,true
rack-cards-folded,Folded Rack Card,marketing-prints,per_piece,69.00,catbase_marketing_prints_01,QTY_TIERED,true,0,0,0,0,,,1:0.55,5:0.5225,10:0.495,true
rack-cards-standard,Standard Rack Card,marketing-prints,per_piece,59.00,catbase_marketing_prints_01,QTY_TIERED,true,0,0,0,0,,,1:0.55,5:0.5225,10:0.495,true
rack-cards-tear-off,Tear Card,marketing-prints,per_piece,69.00,catbase_marketing_prints_01,QTY_TIERED,true,0,0,0,0,,,1:0.55,5:0.5225,10:0.495,true
release-forms,Release / Waiver Form,marketing-prints,per_piece,0.00,catbase_marketing_prints_01,QTY_TIERED,true,0,0,0,0,,,1:0.55,5:0.5225,10:0.495,true
release-waiver-forms,Release / Waiver Forms,marketing-prints,per_piece,0.00,catbase_marketing_prints_01,QTY_TIERED,true,0,0,0,0,,,1:0.55,5:0.5225,10:0.495,true
stamps-r512,Self-Inking Stamp R-512,marketing-prints,per_piece,19.99,batch1_stamps_s520,QTY_TIERED,true,28,0,,3,,,1:28,5:24,10:20,true
stamps-r524,Self-Inking Stamp R-524,marketing-prints,per_piece,27.99,batch1_stamps_s520,QTY_TIERED,true,28,0,,3,,,1:28,5:24,10:20,true
stamps-r532,Self-Inking Stamp R-532,marketing-prints,per_piece,34.99,batch1_stamps_s520,QTY_TIERED,true,28,0,,3,,,1:28,5:24,10:20,true
stamps-r552,Self-Inking Stamp R-552,marketing-prints,per_piece,59.99,batch1_stamps_s520,QTY_TIERED,true,28,0,,3,,,1:28,5:24,10:20,true
stamps-s510,Self-Inking Stamp S-510,marketing-prints,per_piece,19.99,batch1_stamps_s520,QTY_TIERED,true,28,0,,3,,,1:28,5:24,10:20,true
stamps-s520,Self-Inking Stamp S-520,marketing-prints,per_piece,24.99,batch1_stamps_s520,QTY_TIERED,true,28,0,,3,,,1:28,5:24,10:20,true
stamps-s542,Self-Inking Stamp S-542,marketing-prints,per_piece,44.99,batch1_stamps_s520,QTY_TIERED,true,28,0,,3,,,1:28,5:24,10:20,true
stamps-s827,Self-Inking Stamp S-827,marketing-prints,per_piece,39.99,batch1_stamps_s520,QTY_TIERED,true,28,0,,3,,,1:28,5:24,10:20,true
box-sleeves,Box Sleeves,packaging,per_piece,0.00,catbase_packaging_01,QTY_TIERED,true,0,0,0,0,,,1:2,5:1.9,10:1.8,true
hang-tags,Hang Tags,packaging,per_piece,2.80,catbase_packaging_02,QTY_TIERED,true,0,0,0,0,,,1:3.15,5:2.9925,10:2.835,true
hang-tags-custom,Custom Hang Tags,packaging,per_piece,39.00,catbase_packaging_02,QTY_TIERED,true,0,0,0,0,,,1:3.15,5:2.9925,10:2.835,true
label-sets,Product Label Sets,packaging,per_piece,3.50,catbase_packaging_01,QTY_TIERED,true,0,0,0,0,,,1:2,5:1.9,10:1.8,true
packaging-inserts,Packaging Inserts,packaging,per_piece,2.20,catbase_packaging_01,QTY_TIERED,true,0,0,0,0,,,1:2,5:1.9,10:1.8,true
packing-slips,Packing Slips,packaging,per_piece,1.20,catbase_packaging_01,QTY_TIERED,true,0,0,0,0,,,1:2,5:1.9,10:1.8,true
product-inserts,Product Inserts,packaging,per_piece,0.00,catbase_packaging_01,QTY_TIERED,true,0,0,0,0,,,1:2,5:1.9,10:1.8,true
sticker-seals,Sticker Seals,packaging,per_piece,1.80,catbase_packaging_01,QTY_TIERED,true,0,0,0,0,,,1:2,5:1.9,10:1.8,true
tags-hang-tags,Tags / Hang Tags,packaging,per_piece,0.00,catbase_packaging_02,QTY_TIERED,true,0,0,0,0,,,1:3.15,5:2.9925,10:2.835,true
thank-you-cards,Thank You Cards,packaging,per_piece,2.20,catbase_packaging_01,QTY_TIERED,true,0,0,0,0,,,1:2,5:1.9,10:1.8,true
cardstock-prints,Cardstock Prints (14pt) — Custom Size,retail-promo,per_sqft,0.00,cardstock_14pt_custom_size,AREA_TIERED,true,48.8,48.8,1,6,,,9999:0.8228571429,,,true
coupons,Coupons,retail-promo,per_piece,0.00,catbase_marketing_prints_01,QTY_TIERED,true,0,0,0,0,,,1:0.55,5:0.5225,10:0.495,true
danglers,Dangler,retail-promo,per_piece,0.00,catbase_marketing_prints_01,QTY_TIERED,true,0,0,0,0,,,1:0.55,5:0.5225,10:0.495,true
rp-coupons,Coupons,retail-promo,per_piece,0.00,catbase_marketing_prints_01,QTY_TIERED,true,0,0,0,0,,,1:0.55,5:0.5225,10:0.495,true
rp-hang-tags,Hang Tags,retail-promo,per_piece,0.00,catbase_packaging_02,QTY_TIERED,true,0,0,0,0,,,1:3.15,5:2.9925,10:2.835,true
rp-menus,Menus,retail-promo,per_piece,0.00,catbase_marketing_prints_01,QTY_TIERED,true,0,0,0,0,,,1:0.55,5:0.5225,10:0.495,true
rp-tickets,Tickets,retail-promo,per_piece,0.00,catbase_marketing_prints_01,QTY_TIERED,true,0,0,0,0,,,1:0.55,5:0.5225,10:0.495,true
shelf-talkers,Shelf Talkers,retail-promo,per_piece,0.00,catbase_marketing_prints_01,QTY_TIERED,true,0,0,0,0,,,1:0.55,5:0.5225,10:0.495,true
table-display-cards,Table Display Cards,retail-promo,per_piece,0.00,catbase_marketing_prints_01,QTY_TIERED,true,0,0,0,0,,,1:0.55,5:0.5225,10:0.495,true
table-tent-cards,Table Tent Cards,retail-promo,per_piece,0.00,catbase_marketing_prints_01,QTY_TIERED,true,0,0,0,0,,,1:0.55,5:0.5225,10:0.495,true
table-tents-4x6,Table Tents,retail-promo,per_piece,39.00,catbase_marketing_prints_01,QTY_TIERED,true,0,0,0,0,,,1:0.55,5:0.5225,10:0.495,true
tickets,Tickets,retail-promo,per_piece,0.00,catbase_marketing_prints_01,QTY_TIERED,true,0,0,0,0,,,1:0.55,5:0.5225,10:0.495,true
wobblers,Wobbler,retail-promo,per_piece,0.00,catbase_marketing_prints_01,QTY_TIERED,true,0,0,0,0,,,1:0.55,5:0.5225,10:0.495,true
a-frame-insert-prints,A-Frame Inserts,rigid-signs,per_piece,52.00,autobase_a-frame-insert-prints,QTY_TIERED,true,52,0,,,,,1:52,3:49.4,5:46.8,false
a-frame-sandwich-board,A-Frame Sandwich Board,rigid-signs,per_piece,85.00,autobase_a-frame-sandwich-board,QTY_TIERED,true,85,0,,,,,1:85,3:80.75,5:76.5,true
acm-dibond-signs,ACM / Dibond Signs,rigid-signs,per_piece,89.00,autobase_acm-dibond-signs,QTY_TIERED,true,89,0,,,,,1:89,3:84.55,5:80.1,false
acrylic-signs,Acrylic Signs,rigid-signs,per_piece,99.00,autobase_acrylic-signs,QTY_TIERED,true,99,0,,,,,1:99,3:94.05,5:89.1,false
aluminum-composite,Aluminum Composite (Dibond),rigid-signs,per_sqft,80.00,rigid_sheets_default,AREA_TIERED,true,50,10,6,5,,,4:8,12:6.5,32:5,true
aluminum-signs,Aluminum Signs,rigid-signs,per_piece,89.00,batch1_aluminum_signs,QTY_TIERED,true,48,0,,3,,,1:48,5:38,10:32,false
backdrop-board,Backdrop Board,rigid-signs,per_piece,52.00,autobase_a-frame-insert-prints,QTY_TIERED,true,52,0,,,,,1:52,3:49.4,5:46.8,false
clear-acrylic-signs,Clear Acrylic Signs,rigid-signs,per_piece,99.00,autobase_acrylic-signs,QTY_TIERED,true,99,0,,,,,1:99,3:94.05,5:89.1,false
construction-site-signs,Construction Site Signs,rigid-signs,per_piece,45.00,autobase_boat-lettering-registration,QTY_TIERED,true,45,0,,,,,1:45,3:42.75,5:40.5,false
coroplast-signs,Coroplast Signs,rigid-signs,per_piece,42.00,batch1_coroplast_signs,QTY_TIERED,true,19.5,0,,3,,,1:19.5,5:14.5,10:11.5,false
coroplast-yard-signs,Coroplast Yard Signs,rigid-signs,per_piece,45.00,autobase_boat-lettering-registration,QTY_TIERED,true,45,0,,,,,1:45,3:42.75,5:40.5,true
custom-foam-board,Custom Foam Board Sign,rigid-signs,per_sqft,50.00,rigid_sheets_default,AREA_TIERED,true,50,10,6,5,,,4:8,12:6.5,32:5,true
directional-arrow-sign,Directional Arrow Sign,rigid-signs,per_piece,15.00,catbase_rigid_signs_01,QTY_TIERED,true,0,0,0,0,,,1:15,5:14.25,10:13.5,true
directional-arrow-signs,Directional Arrow Signs,rigid-signs,per_piece,45.00,autobase_boat-lettering-registration,QTY_TIERED,true,45,0,,,,,1:45,3:42.75,5:40.5,false
double-sided-lawn-signs,Double-Sided Lawn Signs,rigid-signs,per_piece,42.00,autobase_double-sided-lawn-signs,QTY_TIERED,true,42,0,,,,,1:42,3:39.9,5:37.8,false
election-campaign-sign,Election / Campaign Sign,rigid-signs,per_piece,18.00,autobase_arc-flash-labels,QTY_TIERED,true,18,0,,,,,1:18,3:17.1,5:16.2,true
foam-board,Foam Board (Custom Size),rigid-signs,per_sqft,60.00,rigid_sheets_default,AREA_TIERED,true,50,10,6,5,,,4:8,12:6.5,32:5,true
foam-board-easel,Foam Board + Easel Back,rigid-signs,per_piece,52.00,autobase_a-frame-insert-prints,QTY_TIERED,true,52,0,,,,,1:52,3:49.4,5:46.8,false
foam-board-prints,Foam Board Prints,rigid-signs,per_piece,52.00,autobase_a-frame-insert-prints,QTY_TIERED,true,52,0,,,,,1:52,3:49.4,5:46.8,false
frosted-acrylic-signs,Frosted Acrylic Signs,rigid-signs,per_piece,99.00,autobase_acrylic-signs,QTY_TIERED,true,99,0,,,,,1:99,3:94.05,5:89.1,false
gatorboard-signs,Gatorboard Signs,rigid-signs,per_piece,59.00,autobase_flag-bases-cross,QTY_TIERED,true,59,0,,,,,1:59,3:56.05,5:53.1,false
handheld-sign,Handheld Sign,rigid-signs,per_sqft,25.00,rigid_sheets_default,AREA_TIERED,true,50,10,6,5,,,4:8,12:6.5,32:5,true
handheld-signs,Handheld Signs,rigid-signs,per_piece,52.00,autobase_a-frame-insert-prints,QTY_TIERED,true,52,0,,,,,1:52,3:49.4,5:46.8,false
lawn-signs-h-stake,Lawn Signs + H-Stake,rigid-signs,per_piece,42.00,autobase_double-sided-lawn-signs,QTY_TIERED,true,42,0,,,,,1:42,3:39.9,5:37.8,false
menu-boards,Menu Boards,rigid-signs,per_piece,39.00,autobase_flag-base-water-bag,QTY_TIERED,true,39,0,,,,,1:39,3:37.05,5:35.1,false
parking-property-signs,Parking & Property Signs,rigid-signs,per_piece,45.00,autobase_boat-lettering-registration,QTY_TIERED,true,45,0,,,,,1:45,3:42.75,5:40.5,false
photo-board,Photo Board,rigid-signs,per_sqft,45.00,rigid_sheets_default,AREA_TIERED,true,50,10,6,5,,,4:8,12:6.5,32:5,true
pvc-sintra-signs,PVC Sintra Signs,rigid-signs,per_piece,59.00,autobase_flag-bases-cross,QTY_TIERED,true,59,0,,,,,1:59,3:56.05,5:53.1,false
real-estate-agent-sign,Real Estate Agent Sign,rigid-signs,per_piece,52.00,autobase_a-frame-insert-prints,QTY_TIERED,true,52,0,,,,,1:52,3:49.4,5:46.8,false
real-estate-sign,Real Estate Sign,rigid-signs,per_piece,35.00,autobase_aisle-markers-hanging,QTY_TIERED,true,35,0,,,,,1:35,3:33.25,5:31.5,true
rigid-foam-board-prints,Foam Board / KT Board,rigid-signs,per_piece,52.00,autobase_a-frame-insert-prints,QTY_TIERED,true,52,0,,,,,1:52,3:49.4,5:46.8,false
rigid-tabletop-signs,Tabletop Signs,rigid-signs,per_piece,39.00,autobase_flag-base-water-bag,QTY_TIERED,true,39,0,,,,,1:39,3:37.05,5:35.1,false
safety-signs,Safety Signs,rigid-signs,per_piece,45.00,autobase_boat-lettering-registration,QTY_TIERED,true,45,0,,,,,1:45,3:42.75,5:40.5,false
standoff-mounted-signs,Standoff Mounted Signs,rigid-signs,per_piece,52.00,autobase_a-frame-insert-prints,QTY_TIERED,true,52,0,,,,,1:52,3:49.4,5:46.8,false
table-easel-display,Table Easel Display,rigid-signs,per_sqft,35.00,rigid_sheets_default,AREA_TIERED,true,50,10,6,5,,,4:8,12:6.5,32:5,true
tabletop-signs,Tabletop Signs,rigid-signs,per_piece,39.00,autobase_flag-base-water-bag,QTY_TIERED,true,39,0,,,,,1:39,3:37.05,5:35.1,false
tags-tickets-rigid,Rigid Tags / Tickets,rigid-signs,per_piece,52.00,catbase_marketing_prints_01,QTY_TIERED,true,0,0,0,0,,,1:0.55,5:0.5225,10:0.495,true
wayfinding-signs,Wayfinding Signs,rigid-signs,per_piece,45.00,autobase_boat-lettering-registration,QTY_TIERED,true,45,0,,,,,1:45,3:42.75,5:40.5,false
yard-sign,Yard Sign,rigid-signs,per_piece,18.00,autobase_arc-flash-labels,QTY_TIERED,true,18,0,,,,,1:18,3:17.1,5:16.2,true
yard-sign-h-frame,Yard Sign + H-Frame,rigid-signs,per_piece,42.00,autobase_double-sided-lawn-signs,QTY_TIERED,true,42,0,,,,,1:42,3:39.9,5:37.8,false
yard-sign-panel-only,Yard Sign Panel,rigid-signs,per_piece,42.00,autobase_double-sided-lawn-signs,QTY_TIERED,true,42,0,,,,,1:42,3:39.9,5:37.8,false
yard-signs-coroplast,Coroplast Yard Signs,rigid-signs,per_piece,29.00,autobase_flag-base-ground-stake,QTY_TIERED,true,29,0,,,,,1:29,3:27.55,5:26.1,false
arc-flash-labels,Arc Flash Warning Labels,safety-warning-decals,per_piece,18.00,autobase_arc-flash-labels,QTY_TIERED,true,18,0,,,,,1:18,3:17.1,5:16.2,false
chemical-storage-labels,Chemical Storage Cabinet Labels,safety-warning-decals,per_piece,12.00,catbase_safety_warning_decals_01,QTY_TIERED,true,0,0,0,0,,,1:13.5,5:12.825,10:12.15,false
confined-space-warning-signs,Confined Space Warning Signs,safety-warning-decals,per_piece,28.00,autobase_confined-space-warning-signs,QTY_TIERED,true,28,0,,,,,1:28,3:26.6,5:25.2,false
crane-lift-capacity-labels,Crane & Lift Capacity Labels,safety-warning-decals,per_piece,20.00,autobase_crane-lift-capacity-labels,QTY_TIERED,true,20,0,,,,,1:20,3:19,5:18,false
emergency-exit-egress-signs-set,Emergency Exit Signs,safety-warning-decals,per_piece,25.00,autobase_cvor-number-decals,QTY_TIERED,true,25,0,,,,,1:25,3:23.75,5:22.5,false
fire-extinguisher-location-stickers,Fire Extinguisher Stickers,safety-warning-decals,per_piece,5.00,catbase_facility_asset_labels_02,QTY_TIERED,true,0,0,0,0,,,1:5,5:4.75,10:4.5,false
first-aid-location-stickers,First Aid Stickers,safety-warning-decals,per_piece,5.00,catbase_facility_asset_labels_02,QTY_TIERED,true,0,0,0,0,,,1:5,5:4.75,10:4.5,false
forklift-safety-decals,Forklift Safety Decal Kit,safety-warning-decals,per_piece,35.00,autobase_aisle-markers-hanging,QTY_TIERED,true,35,0,,,,,1:35,3:33.25,5:31.5,false
hazard-ghs-labels,Hazard GHS Labels,safety-warning-decals,per_piece,4.00,catbase_facility_asset_labels_02,QTY_TIERED,true,0,0,0,0,,,1:5,5:4.75,10:4.5,false
high-visibility-rear-chevron-kit,Rear Chevron Kit,safety-warning-decals,per_piece,125.00,autobase_high-visibility-rear-chevron-kit,QTY_TIERED,true,125,0,,,,,1:125,3:118.75,5:112.5,false
high-voltage-warning-signs,High Voltage Warning Signs,safety-warning-decals,per_piece,22.00,autobase_high-voltage-warning-signs,QTY_TIERED,true,22,0,,,,,1:22,3:20.9,5:19.8,false
lockout-tagout-labels,Lockout/Tagout Labels,safety-warning-decals,per_piece,15.00,catbase_safety_warning_decals_01,QTY_TIERED,true,0,0,0,0,,,1:13.5,5:12.825,10:12.15,false
no-smoking-decals-set,No Smoking Decals,safety-warning-decals,per_piece,15.00,catbase_facility_asset_labels_03,QTY_TIERED,true,0,0,0,0,,,1:15,5:14.25,10:13.5,false
parking-lot-stencils,Parking Lot Stencils,safety-warning-decals,per_piece,45.00,autobase_boat-lettering-registration,QTY_TIERED,true,45,0,,,,,1:45,3:42.75,5:40.5,false
ppe-hard-hat-stickers,Hard Hat Stickers,safety-warning-decals,per_piece,2.00,catbase_facility_asset_labels_01,QTY_TIERED,true,0,0,0,0,,,1:2,5:1.9,10:1.8,false
ppe-required-signs,PPE Required Signs,safety-warning-decals,per_piece,25.00,autobase_cvor-number-decals,QTY_TIERED,true,25,0,,,,,1:25,3:23.75,5:22.5,false
reflective-conspicuity-tape-kit,Reflective Conspicuity Tape,safety-warning-decals,per_piece,45.00,autobase_boat-lettering-registration,QTY_TIERED,true,45,0,,,,,1:45,3:42.75,5:40.5,false
reflective-safety-stripes-kit,Reflective Safety Stripes,safety-warning-decals,per_piece,65.00,autobase_car-door-magnets-pair,QTY_TIERED,true,65,0,,,,,1:65,3:61.75,5:58.5,false
safety-notice-decal-pack,Safety Notice Pack,safety-warning-decals,per_piece,35.00,autobase_aisle-markers-hanging,QTY_TIERED,true,35,0,,,,,1:35,3:33.25,5:31.5,false
slip-trip-hazard-signs,Slip & Trip Hazard Signs,safety-warning-decals,per_piece,18.00,autobase_arc-flash-labels,QTY_TIERED,true,18,0,,,,,1:18,3:17.1,5:16.2,false
stay-back-warning-decals,Stay Back Warning,safety-warning-decals,per_piece,18.00,autobase_arc-flash-labels,QTY_TIERED,true,18,0,,,,,1:18,3:17.1,5:16.2,false
whmis-workplace-labels,WHMIS Workplace Labels,safety-warning-decals,per_piece,35.00,autobase_aisle-markers-hanging,QTY_TIERED,true,35,0,,,,,1:35,3:33.25,5:31.5,false
barcode-labels,Barcode Labels,stickers-labels,per_piece,0.00,autobase_barcode-labels,QTY_TIERED,true,5,0,,,,,1:0.01,3:0.01,5:0.01,false
clear-labels,Clear Labels,stickers-labels,per_piece,0.00,autobase_barcode-labels,QTY_TIERED,true,5,0,,,,,1:0.01,3:0.01,5:0.01,false
clear-singles,Clear Stickers (Singles),stickers-labels,per_sqft,50.00,largeformat_roll_default,AREA_TIERED,true,25,5,,,,,4:2.5,12:2,32:1.5,true
die-cut-singles,Die-Cut Stickers (Singles),stickers-labels,per_sqft,50.00,largeformat_roll_default,AREA_TIERED,true,25,5,,,,,4:2.5,12:2,32:1.5,true
die-cut-stickers,Die-Cut Stickers,stickers-labels,per_piece,0.00,batch1_die_cut_stickers,QTY_TIERED,true,25,0,,3,,,50:1.1,100:0.82,250:0.55,false
floor-decals,Floor Decals,stickers-labels,per_piece,0.00,autobase_barcode-labels,QTY_TIERED,true,5,0,,,,,1:0.01,3:0.01,5:0.01,false
foil-stickers,Foil Stickers,stickers-labels,per_piece,0.00,autobase_barcode-labels,QTY_TIERED,true,5,0,,,,,1:0.01,3:0.01,5:0.01,false
freezer-labels,Freezer Labels,stickers-labels,per_piece,0.00,autobase_barcode-labels,QTY_TIERED,true,5,0,,,,,1:0.01,3:0.01,5:0.01,false
heavy-duty-vinyl-stickers,Heavy Duty Outdoor Vinyl Stickers,stickers-labels,per_piece,0.00,autobase_barcode-labels,QTY_TIERED,true,5,0,,,,,1:0.01,3:0.01,5:0.01,false
holographic-singles,Holographic Singles,stickers-labels,per_sqft,65.00,largeformat_roll_default,AREA_TIERED,true,25,5,,,,,4:2.5,12:2,32:1.5,true
holographic-stickers,Holographic Stickers,stickers-labels,per_piece,0.00,autobase_barcode-labels,QTY_TIERED,true,5,0,,,,,1:0.01,3:0.01,5:0.01,false
kiss-cut-sticker-sheets,Kiss-Cut Sticker Sheets,stickers-labels,per_piece,0.00,autobase_barcode-labels,QTY_TIERED,true,5,0,,,,,1:0.01,3:0.01,5:0.01,false
kraft-paper-labels,Kraft Paper Labels,stickers-labels,per_piece,0.00,autobase_barcode-labels,QTY_TIERED,true,5,0,,,,,1:0.01,3:0.01,5:0.01,false
labels-clear,Clear Labels,stickers-labels,per_piece,0.00,autobase_barcode-labels,QTY_TIERED,true,5,0,,,,,1:0.01,3:0.01,5:0.01,false
labels-roll-quote,Roll Labels,stickers-labels,per_piece,0.00,autobase_barcode-labels,QTY_TIERED,true,5,0,,,,,1:0.01,3:0.01,5:0.01,false
labels-white-bopp,White BOPP Labels,stickers-labels,per_piece,0.00,autobase_barcode-labels,QTY_TIERED,true,5,0,,,,,1:0.01,3:0.01,5:0.01,false
magnets-flexible,Magnets,stickers-labels,per_piece,0.00,autobase_barcode-labels,QTY_TIERED,true,5,0,,,,,1:0.01,3:0.01,5:0.01,false
perforated-window-film,Perforated Window Film,stickers-labels,per_piece,0.00,autobase_barcode-labels,QTY_TIERED,true,5,0,,,,,1:0.01,3:0.01,5:0.01,false
qr-code-labels,QR Code Labels,stickers-labels,per_piece,0.00,autobase_barcode-labels,QTY_TIERED,true,5,0,,,,,1:0.01,3:0.01,5:0.01,false
removable-stickers,Removable Stickers,stickers-labels,per_piece,0.00,autobase_barcode-labels,QTY_TIERED,true,5,0,,,,,1:0.01,3:0.01,5:0.01,false
roll-labels,Roll Labels,stickers-labels,per_piece,0.00,batch1_roll_labels,QTY_TIERED,true,50,0,,3,,,250:0.42,500:0.26,1000:0.15,false
sticker-packs,Sticker Packs,stickers-labels,per_piece,0.00,autobase_barcode-labels,QTY_TIERED,true,5,0,,,,,1:0.01,3:0.01,5:0.01,false
sticker-sheets,Sticker Sheets (12x18),stickers-labels,per_piece,30.00,autobase_sticker-sheets,QTY_TIERED,true,30,0,,,,,1:30,3:28.5,5:27,true
stickers-color-on-clear,Color on Clear Stickers,stickers-labels,per_piece,0.00,autobase_barcode-labels,QTY_TIERED,true,5,0,,,,,1:0.01,3:0.01,5:0.01,false
stickers-color-on-white,Color on White Stickers,stickers-labels,per_piece,0.00,autobase_barcode-labels,QTY_TIERED,true,5,0,,,,,1:0.01,3:0.01,5:0.01,false
stickers-die-cut-custom,Custom Die-Cut Stickers,stickers-labels,per_piece,29.00,autobase_flag-base-ground-stake,QTY_TIERED,true,29,0,,,,,1:29,3:27.55,5:26.1,false
stickers-multi-on-sheet,Multi on Sheet,stickers-labels,per_piece,0.00,autobase_barcode-labels,QTY_TIERED,true,5,0,,,,,1:0.01,3:0.01,5:0.01,false
